iter	Passed	Remaining
581	6234	4477
582	6242	4465
583	6254	4455
584	6262	4442
585	6272	4431
586	6280	4419
587	6289	4407
588	6299	4395
589	6308	4383
590	6318	4372
591	6329	4362
592	6340	4351
593	6350	4340
594	6358	4328
595	6369	4317
596	6377	4305
597	6387	4293
598	6397	4282
599	6405	4270
600	6415	4259
601	6424	4247
602	6433	4235
603	6442	4223
604	6451	4212
605	6460	4200
606	6469	4188
607	6479	4177
608	6489	4166
609	6500	4155
610	6508	4143
611	6517	4131
612	6526	4120
613	6534	4108
614	6544	4097
615	6553	4085
616	6563	4074
617	6572	4062
618	6581	4051
619	6590	4039
620	6599	4027
621	6609	4016
622	6618	4004
623	6629	3994
624	6640	3984
625	6651	3973
626	6661	3962
627	6670	3951
628	6681	3940
629	6690	3929
630	6700	3918
631	6710	3907
632	6718	3895
633	6728	3884
634	6737	3872
635	6747	3861
636	6757	3850
637	6765	3838
638	6776	3828
639	6785	3816
640	6796	3806
641	6807	3796
642	6816	3784
643	6826	3773
644	6834	3761
645	6843	3749
646	6851	3738
647	6860	3726
648	6869	3715
649	6878	3703
650	6888	3693
651	6896	3681
652	6906	3670
653	6915	3658
654	6924	3647
655	6932	3635
656	6941	3624
657	6952	3613
658	6963	3603
659	6973	3592
660	6981	3580
661	6992	3569
662	7000	3558
663	7008	3546
664	7018	3535
665	7027	3524
666	7037	3513
667	7045	3501
668	7054	3490
669	7062	3478
670	7072	3467
671	7080	3456
672	7090	3445
673	7098	3433
674	7109	3423
675	7121	3413
676	7129	3401
677	7138	3390
678	7147	3378
679	7156	3367
680	7164	3356
681	7173	3344
682	7183	3334
683	7192	3322
684	7202	3311
685	7210	3300
686	7219	3289
687	7228	3278
688	7237	3266
689	7246	3255
690	7254	3244
691	7267	3234
692	7277	3223
693	7286	3212
694	7296	3201
695	7305	3190
696	7315	3180
697	7323	3168
698	7333	3157
699	7341	3146
700	7351	3135
701	7359	3124
702	7368	3113
703	7377	3102
704	7386	3090
705	7397	3080
706	7405	3069
707	7416	3058
708	7428	3048
709	7437	3037
710	7447	3027
711	7455	3015
712	7464	3004
713	7472	2993
714	7481	2982
715	7490	2970
716	7499	2960
717	7511	2950
718	7521	2939
719	7531	2928
720	7539	2917
721	7548	2906
722	7557	2895
723	7566	2884
724	7577	2874
725	7586	2863
726	7595	2852
727	7605	2841
728	7616	2831
729	7626	2820
730	7635	2809
731	7646	2799
732	7654	2788
733	7664	2777
734	7674	2766
735	7683	2755
736	7693	2745
737	7702	2734
738	7711	2723
739	7721	2712
740	7731	2702
741	7743	2692
742	7752	2681
743	7761	2670
744	7771	2659
745	7779	2648
746	7788	2638
747	7796	2626
748	7806	2616
749	7815	2605
750	7824	2594
751	7832	2583
752	7842	2572
753	7850	2561
754	7859	2550
755	7869	2539
756	7877	2528
757	7889	2518
758	7897	2507
759	7906	2496
760	7914	2485
761	7923	2474
762	7932	2463
763	7941	2453
764	7949	2442
765	7958	2431
766	7969	2420
767	7977	2409
768	7987	2399
769	7995	2388
770	8004	2377
771	8013	2366
772	8022	2355
773	8030	2344
774	8041	2334
775	8053	2324
776	8061	2313
777	8070	2302
778	8078	2291
779	8088	2281
780	8098	2270
781	8106	2259
782	8115	2249
783	8124	2238
784	8134	2227
785	8143	2217
786	8153	2206
787	8162	2195
788	8171	2185
789	8180	2174
790	8191	2164
791	8203	2154
792	8211	2143
793	8219	2132
794	8229	2122
795	8237	2111
796	8247	2100
797	8255	2089
798	8266	2079
799	8275	2068
800	8285	2058
801	8294	2047
802	8302	2036
803	8312	2026
804	8321	2015
805	8331	2005
806	8339	1994
807	8351	1984
808	8363	1974
809	8371	1963
810	8381	1953
811	8389	1942
812	8398	1931
813	8407	1921
814	8416	1910
815	8426	1900
816	8434	1889
817	8444	1878
818	8453	1868
819	8463	1857
820	8472	1847
821	8481	1836
822	8491	1826
823	8502	1815
824	8513	1805
825	8521	1795
826	8530	1784
827	8540	1774
828	8549	1763
829	8559	1753
830	8568	1742
831	8578	1732
832	8589	1722
833	8599	1711
834	8609	1701
835	8618	1690
836	8627	1680
837	8637	1669
838	8646	1659
839	8657	1649
840	8668	1638
841	8677	1628
842	8687	1618
843	8696	1607
844	8707	1597
845	8715	1586
846	8724	1576
